Stattrak,Weapon Name,Skin Name,Range Delimeter,#FN,#MW,#FT,#WW,#BS,$FN,$MW,$FT,$WW,$BS,floatAvg,Avg Cost,Avg Profit,Net Profit After Steam ($)
False,CZ75-Auto,Eco,Max,0,0,9,1,0,2.8,1.23,0.68,0.55,0.5,0.173,6.67,7.67,-0.0
False,G3SG1,High Seas,Max,0,0,0,0,10,2.67,1.32,0.65,0.66,0.43,0.45,4.3,4.94,-0.0
False,Sawed-Off,Zander,Min,0,0,1,1,8,0.39,0.16,0.11,0.1,0.09,0.883,0.93,1.07,-0.0
True,SG 553,Atlas,Max,0,9,1,0,0,0.85,0.33,0.15,0.2,0.13,0.078,3.12,3.58,-0.0
True,Tec-9,Brother,Max,0,8,1,1,0,4.33,1.52,0.84,0.66,0.61,0.109,13.66,15.71,-0.0
False,P2000,Oceanic,Max,0,10,0,0,0,0.3,0.16,0.09,0.1,0.09,0.07,1.6,1.84,-0.0
True,MP9,Dart,Max,0,10,0,0,0,1.98,1.34,0.88,1.01,1.26,0.07,13.4,15.41,-0.0
False,MAG-7,Popdog,Max,0,0,9,1,0,0.3,0.13,0.08,0.13,0.07,0.173,0.85,0.97,-0.01
False,Nova,Wood Fired,Max,0,0,10,0,0,0.25,0.14,0.08,0.09,0.08,0.15,0.8,0.91,-0.01
False,UMP-45,Roadblock,Min,0,0,1,9,0,0.47,0.2,0.12,0.08,0.08,0.4429999999999999,0.84,0.96,-0.01
True,P2000,Urban Hazard,Max,0,0,10,0,0,0.82,0.29,0.12,0.12,0.11,0.15,1.2,1.37,-0.01
True,PP-Bizon,Night Riot,Max,0,0,10,0,0,0.68,0.27,0.12,0.13,0.12,0.15,1.2,1.37,-0.01
True,R8 Revolver,Grip,Max,0,10,0,0,0,0.88,0.26,0.12,0.12,0.12,0.07,2.6,2.98,-0.01
True,R8 Revolver,Grip,Max,0,0,10,0,0,0.88,0.26,0.12,0.12,0.12,0.15,1.2,1.37,-0.01
False,Sawed-Off,Black Sand,Max,0,0,10,0,0,0.27,0.14,0.08,0.07,0.07,0.15,0.8,0.91,-0.01
False,FAMAS,Djinn,Max,0,0,10,0,0,10.33,4.22,2.36,2.26,2.32,0.15,23.6,27.13,-0.01
True,XM1014,Oxide Blaze,Max,0,0,10,0,0,0.63,0.27,0.12,0.14,0.13,0.15,1.2,1.37,-0.01
False,Negev,Prototype,Max,0,0,10,0,0,0.26,0.13,0.08,0.08,0.07,0.15,0.8,0.91,-0.01
True,MAG-7,Sonar,Max,0,8,1,1,0,1.11,0.47,0.29,0.29,nan,0.109,4.34,4.98,-0.01
False,SSG 08,Mainframe 001,Max,0,10,0,0,0,0.47,0.14,0.08,0.08,0.08,0.07,1.4,1.6,-0.01
False,Sawed-Off,Zander,Max,0,0,9,1,0,0.39,0.16,0.11,0.1,0.09,0.173,1.09,1.24,-0.01
False,R8 Revolver,Bone Forged,Max,0,0,10,0,0,0.26,0.13,0.08,0.07,0.08,0.15,0.8,0.91,-0.01
False,CZ75-Auto,Distressed,Max,0,0,10,0,0,0.31,0.13,0.08,0.07,0.07,0.15,0.8,0.91,-0.01
False,AUG,Tom Cat,Max,0,0,10,0,0,0.38,0.14,0.08,0.14,0.07,0.15,0.8,0.91,-0.01
False,SG 553,Danger Close,Max,0,0,10,0,0,0.28,0.15,0.08,0.09,0.07,0.15,0.8,0.91,-0.01
False,MP9,Modest Threat,Max,0,0,10,0,0,0.29,0.15,0.08,0.11,0.08,0.15,0.8,0.91,-0.01
False,FAMAS,Crypsis,Max,0,0,10,0,0,0.53,0.33,0.2,0.21,0.17,0.15,2.0,2.28,-0.01
True,M249,Deep Relief,Max,0,0,0,0,10,1.66,0.74,0.3,0.25,0.23,0.45,2.3,2.63,-0.01
False,Negev,Drop Me,Min,0,0,1,9,0,0.4,0.2,0.12,0.08,0.08,0.4429999999999999,0.84,0.96,-0.01
True,Sawed-Off,Zander,Max,0,0,0,0,10,0.98,0.5,0.22,0.16,0.16,0.45,1.6,1.83,-0.01
False,MAC-10,Monkeyflage,Min,0,0,1,9,0,0.42,0.2,0.12,0.08,0.08,0.4429999999999999,0.84,0.96,-0.01
True,Sawed-Off,Zander,Max,0,0,0,9,1,0.98,0.5,0.22,0.16,0.16,0.387,1.6,1.83,-0.01
True,Sawed-Off,Zander,Min,0,0,0,10,0,0.98,0.5,0.22,0.16,0.16,0.45,1.6,1.83,-0.01
False,MP5-SD,Desert Strike,Max,0,0,10,0,0,0.32,0.14,0.08,0.07,0.07,0.15,0.8,0.91,-0.01
True,Galil AR,Destroyer,Max,0,0,8,1,1,0.98,0.51,0.24,0.35,0.23,0.203,2.5,2.86,-0.01
True,CZ75-Auto,Polymer,Max,0,9,1,0,0,1.01,0.48,0.3,0.3,0.28,0.078,4.62,5.3,-0.01
False,Galil AR,Stone Cold,Max,0,0,10,0,0,6.03,2.61,1.33,1.21,1.15,0.15,13.3,15.27,-0.02
False,MP9,Sand Scale,Max,0,8,1,1,0,0.32,0.16,0.12,0.12,nan,0.109,1.52,1.72,-0.02
False,PP-Bizon,Jungle Slipstream,Max,0,0,9,1,0,0.27,0.17,0.11,0.11,0.17,0.173,1.1,1.24,-0.02
True,Galil AR,Destroyer,Max,0,0,9,1,0,0.98,0.51,0.24,0.35,0.23,0.173,2.51,2.86,-0.02
True,G3SG1,Digital Mesh,Max,0,0,8,1,1,1.6,0.72,0.3,0.36,0.26,0.203,3.02,3.45,-0.02
True,Negev,Drop Me,Max,0,0,0,10,0,1.05,0.42,0.21,0.15,0.13,0.38,1.5,1.71,-0.02
True,CZ75-Auto,Distressed,Max,0,9,1,0,0,0.86,0.27,0.13,0.12,0.12,0.078,2.56,2.92,-0.02
True,UMP-45,Roadblock,Max,0,0,0,10,0,1.04,0.42,0.22,0.15,0.14,0.38,1.5,1.71,-0.02
False,Sawed-Off,Zander,Max,0,9,1,0,0,0.39,0.16,0.11,0.1,0.09,0.078,1.55,1.76,-0.02
False,Tec-9,Flash Out,Max,0,0,9,1,0,0.29,0.14,0.08,0.14,0.07,0.173,0.86,0.97,-0.02
False,SCAR-20,Torn,Max,0,10,0,0,0,0.65,0.52,0.36,0.33,nan,0.07,5.2,5.95,-0.02
False,Tec-9,Flash Out,Max,0,9,1,0,0,0.29,0.14,0.08,0.14,0.07,0.078,1.34,1.52,-0.02
False,Dual Berettas,Balance,Max,0,10,0,0,0,1.96,0.52,0.4,0.35,0.36,0.07,5.2,5.95,-0.02
True,MAC-10,Monkeyflage,Max,0,0,0,10,0,1.76,0.43,0.21,0.15,0.14,0.38,1.5,1.71,-0.02
True,G3SG1,Scavenger,Min,0,0,0,0,10,3.01,1.58,0.9,0.8,0.68,0.65,6.8,7.8,-0.02
False,PP-Bizon,Jungle Slipstream,Max,0,10,0,0,0,0.27,0.17,0.11,0.11,0.17,0.07,1.7,1.93,-0.02
True,Sawed-Off,Black Sand,Max,0,10,0,0,0,0.88,0.29,0.14,0.12,0.12,0.07,2.9,3.3,-0.03
False,FAMAS,Decommissioned,Max,0,9,1,0,0,0.51,0.14,0.09,0.08,0.08,0.078,1.35,1.52,-0.03
False,Dual Berettas,Elite 1.6,Max,0,9,1,0,0,0.3,0.14,0.09,0.12,0.08,0.078,1.35,1.52,-0.03
False,Tec-9,Brother,Max,0,0,0,0,10,1.53,0.94,0.54,0.42,0.38,0.45,3.8,4.33,-0.03
False,MAG-7,Foresight,Min,0,0,0,1,9,0.26,0.14,0.08,0.08,0.08,0.675,0.8,0.88,-0.03
False,CZ75-Auto,Polymer,Max,0,0,10,0,0,0.34,0.17,0.13,0.14,0.15,0.15,1.3,1.46,-0.03
False,MAG-7,Foresight,Min,0,0,1,1,8,0.26,0.14,0.08,0.08,0.08,0.643,0.8,0.89,-0.03
False,MAG-7,Foresight,Min,0,0,0,0,10,0.26,0.14,0.08,0.08,0.08,0.7,0.8,0.88,-0.03
True,MP5-SD,Desert Strike,Max,0,9,1,0,0,1.22,0.27,0.14,0.13,0.12,0.078,2.57,2.92,-0.03
True,CZ75-Auto,Distressed,Max,0,0,8,1,1,0.86,0.27,0.13,0.12,0.12,0.203,1.28,1.44,-0.03
False,Sawed-Off,Spirit Board,Max,0,0,10,0,0,0.28,0.14,0.09,0.1,0.09,0.15,0.9,1.0,-0.03
True,UMP-45,Arctic Wolf,Max,0,0,9,1,0,3.09,1.31,0.59,0.66,0.47,0.173,5.97,6.83,-0.03
True,MAG-7,Foresight,Min,0,0,1,1,8,0.71,0.38,0.18,0.21,0.2,0.643,1.99,2.25,-0.03
False,MAC-10,Carnivore,Min,0,0,0,0,10,0.39,0.15,0.11,0.1,0.1,1.0,1.0,1.11,-0.03
True,Sawed-Off,Yorick,Max,0,0,0,10,0,1.56,0.62,0.3,0.18,0.18,0.38,1.8,2.03,-0.03
False,SCAR-20,Assault,Max,0,9,1,0,0,0.27,0.14,0.09,0.14,0.08,0.078,1.35,1.52,-0.03
True,CZ75-Auto,Distressed,Max,0,0,9,1,0,0.86,0.27,0.13,0.12,0.12,0.173,1.29,1.44,-0.04
True,PP-Bizon,Jungle Slipstream,Max,0,10,0,0,0,0.67,0.42,0.23,0.24,0.26,0.07,4.2,4.78,-0.04
False,MP7,Akoben,Max,0,0,8,1,1,0.27,0.18,0.11,0.14,0.1,0.203,1.12,1.24,-0.04
False,P2000,Ivory,Max,0,0,10,0,0,0.5,0.15,0.1,0.1,0.09,0.15,1.0,1.1,-0.04
False,SCAR-20,Blueprint,Max,0,0,8,1,1,0.34,0.18,0.11,0.14,0.1,0.203,1.12,1.24,-0.04
False,UMP-45,Labyrinth,Max,0,0,10,0,0,0.26,0.16,0.1,0.27,nan,0.15,1.0,1.1,-0.04
True,SG 553,Tiger Moth,Max,0,0,9,1,0,7.11,3.06,1.49,1.31,1.21,0.173,14.72,16.88,-0.04
False,Galil AR,Vandal,Max,0,0,10,0,0,0.8,0.38,0.26,0.2,0.18,0.15,2.6,2.95,-0.04
True,MP7,Akoben,Max,0,10,0,0,0,0.72,0.42,0.23,0.3,0.22,0.07,4.2,4.78,-0.04
False,M249,Deep Relief,Max,0,0,0,10,0,0.76,0.37,0.25,0.18,0.17,0.38,1.8,2.02,-0.04
False,Negev,Desert-Strike,Max,0,0,10,0,0,0.26,0.15,0.1,0.1,0.09,0.15,1.0,1.1,-0.04
False,P250,Ripple,Max,0,0,9,1,0,0.3,0.18,0.11,0.13,0.17,0.173,1.12,1.24,-0.04
True,MAC-10,Monkeyflage,Max,0,0,0,0,10,1.76,0.43,0.21,0.15,0.14,0.45,1.4,1.56,-0.04
True,R8 Revolver,Bone Forged,Max,0,9,1,0,0,0.67,0.27,0.15,0.17,0.16,0.078,2.58,2.92,-0.04
True,UMP-45,Roadblock,Max,0,0,0,0,10,1.04,0.42,0.22,0.15,0.14,0.45,1.4,1.56,-0.04
False,P90,Neoqueen,Max,7,1,1,1,0,5.75,4.08,2.5,3.29,5.68,0.06,50.12,57.59,-0.04
False,MP7,Urban Hazard,Max,0,0,10,0,0,0.27,0.16,0.1,0.12,0.12,0.15,1.0,1.1,-0.04
False,P90,Cocoa Rampage,Max,0,0,10,0,0,0.66,0.4,0.26,0.21,0.2,0.15,2.6,2.95,-0.04
False,MP7,Akoben,Max,0,0,9,1,0,0.27,0.18,0.11,0.14,0.1,0.173,1.13,1.24,-0.05
False,PP-Bizon,Jungle Slipstream,Max,0,8,1,1,0,0.27,0.17,0.11,0.11,0.17,0.109,1.58,1.76,-0.05
False,Sawed-Off,Black Sand,Max,0,0,9,1,0,0.27,0.14,0.08,0.07,0.07,0.173,0.79,0.85,-0.05
False,MAC-10,Rangeen,Max,0,0,10,0,0,0.49,0.29,0.18,0.2,0.25,0.15,1.8,2.02,-0.05
False,SCAR-20,Blueprint,Min,0,0,0,0,10,0.34,0.18,0.11,0.14,0.1,0.75,1.0,1.09,-0.05
False,G3SG1,Scavenger,Max,0,0,9,1,0,1.24,0.81,0.53,0.43,0.4,0.173,5.2,5.93,-0.05
False,XM1014,Scumbria,Max,0,0,0,0,10,0.64,0.28,0.14,0.12,0.11,0.45,1.1,1.21,-0.05
False,Dual Berettas,Ventilators,Max,0,0,10,0,0,0.3,0.15,0.09,0.11,nan,0.15,0.9,0.98,-0.05
True,R8 Revolver,Survivalist,Max,0,0,8,1,1,1.05,0.55,0.28,0.26,0.27,0.203,2.77,3.13,-0.05
False,FAMAS,Decommissioned,Max,0,0,9,1,0,0.51,0.14,0.09,0.08,0.08,0.173,0.89,0.97,-0.05
True,CZ75-Auto,Vendetta,Max,0,0,9,1,0,2.1,0.69,0.31,0.26,0.26,0.173,3.05,3.45,-0.05
False,M249,Spectre,Max,0,0,10,0,0,0.31,0.15,0.09,0.13,0.09,0.15,0.9,0.98,-0.05
False,M249,Aztec,Min,0,0,0,0,10,1.57,1.0,0.62,0.59,0.43,0.75,4.3,4.89,-0.05
True,Tec-9,Fubar,Max,0,0,9,1,0,nan,2.72,0.17,0.19,0.15,0.173,1.72,1.92,-0.05
False,Sawed-Off,Zander,Min,0,1,1,1,7,0.39,0.16,0.11,0.1,0.09,0.798,1.0,1.09,-0.05
False,P2000,Oceanic,Max,0,0,10,0,0,0.3,0.16,0.09,0.1,0.09,0.15,0.9,0.98,-0.05
False,SCAR-20,Blueprint,Max,0,0,9,1,0,0.34,0.18,0.11,0.14,0.1,0.173,1.13,1.24,-0.05
False,MP7,Akoben,Min,0,0,0,0,10,0.27,0.18,0.11,0.14,0.1,0.7,1.0,1.08,-0.06
False,Five-SeveN,Scumbria,Max,0,0,10,0,0,0.36,0.15,0.08,0.1,0.07,0.15,0.8,0.85,-0.06
False,Five-SeveN,Capillary,Min,0,0,0,0,10,0.3,0.18,0.11,0.18,0.1,0.7,1.0,1.08,-0.06
False,MAG-7,Sonar,Max,0,9,1,0,0,0.31,0.17,0.12,0.13,nan,0.078,1.65,1.83,-0.06
False,Sawed-Off,Yorick,Max,0,0,0,0,10,0.45,0.18,0.09,0.08,0.07,0.45,0.7,0.73,-0.06
False,CZ75-Auto,Imprint,Max,0,0,10,0,0,0.35,0.15,0.08,0.08,0.07,0.15,0.8,0.85,-0.06
False,FAMAS,Meow 36,Max,0,0,0,9,1,0.53,0.21,0.12,0.09,0.08,0.387,0.89,0.96,-0.06
True,MP7,Armor Core,Max,0,0,10,0,0,0.8,0.43,0.26,0.29,0.37,0.15,2.6,2.92,-0.06
False,G3SG1,Ventilator,Max,0,0,10,0,0,0.29,0.16,0.08,0.11,nan,0.15,0.8,0.85,-0.06
True,P2000,Lifted Spirits,Min,0,0,0,1,9,0.91,0.38,0.17,0.16,0.2,0.945,1.96,2.19,-0.06
True,Tec-9,Brother,Max,0,0,0,0,10,4.33,1.52,0.84,0.66,0.61,0.45,6.1,6.95,-0.06
False,Sawed-Off,Zander,Max,0,0,0,9,1,0.39,0.16,0.11,0.1,0.09,0.387,0.99,1.07,-0.06
False,XM1014,Slipstream,Max,0,0,10,0,0,0.28,0.15,0.08,0.1,0.1,0.15,0.8,0.85,-0.06
True,Nova,Toy Soldier,Max,0,9,1,0,0,7.94,2.94,1.3,1.12,1.17,0.078,27.76,31.85,-0.06
False,UMP-45,Briefing,Max,0,0,10,0,0,0.34,0.14,0.08,0.07,0.07,0.15,0.8,0.85,-0.06
False,P90,Shapewood,Max,0,0,10,0,0,8.82,4.22,1.92,1.71,1.73,0.15,19.2,22.01,-0.06
False,Negev,Dazzle,Max,0,0,10,0,0,nan,0.32,0.08,0.1,0.07,0.15,0.8,0.85,-0.06
False,Sawed-Off,Yorick,Max,0,0,8,1,1,0.45,0.18,0.09,0.08,0.07,0.203,0.87,0.93,-0.06
True,G3SG1,Digital Mesh,Max,0,0,9,1,0,1.6,0.72,0.3,0.36,0.26,0.173,3.06,3.45,-0.06
False,P90,Traction,Max,0,9,1,0,0,1.01,0.25,0.15,0.11,0.11,0.078,2.4,2.68,-0.07
False,Glock-18,Winterized,Min,0,0,0,10,0,0.58,0.21,0.12,0.09,0.09,0.45,0.9,0.96,-0.07
False,M4A4,Poly Mag,Min,0,0,0,10,0,0.85,0.22,0.12,0.09,0.09,0.45,0.9,0.96,-0.07
False,M4A4,Poly Mag,Max,0,0,0,9,1,0.85,0.22,0.12,0.09,0.09,0.387,0.9,0.96,-0.07
False,M4A4,Poly Mag,Max,0,0,0,0,10,0.85,0.22,0.12,0.09,0.09,0.45,0.9,0.96,-0.07
