Stattrak,Weapon Name,Skin Name,Range Delimeter,#FN,#MW,#FT,#WW,#BS,$FN,$MW,$FT,$WW,$BS,floatAvg,Avg Cost,Avg Profit,Net Profit After Steam ($)
True,P250,Visions,min,1,9,0,0,0,35.05,17.14,9.06,8.15,6.76,0.063,189.31,332.32,99.67
True,P2000,Wicked Sick,min,0,0,9,1,0,85.6,45.34,16.57,12.09,9.73,0.173,161.22,299.87,99.54
True,UMP-45,Wild Child,min,7,0,2,1,0,84.38,44.9,16.99,11.62,9.2,0.0679999999999999,636.26,846.14,99.53
True,Sawed-Off,Kiss♥Love,min,1,8,1,0,0,41.69,17.39,8.97,7.55,6.46,0.071,189.78,332.32,99.2
True,UMP-45,Wild Child,min,0,0,9,0,1,84.38,44.9,16.99,11.62,9.2,0.18,162.11,299.87,98.65
True,P2000,Wicked Sick,min,6,2,2,0,0,85.6,45.34,16.57,12.09,9.73,0.044,637.42,846.14,98.37
True,P250,Visions,min,2,6,2,0,0,35.05,17.14,9.06,8.15,6.76,0.072,191.06,332.32,97.92
True,P2000,Wicked Sick,min,3,4,3,0,0,85.6,45.34,16.57,12.09,9.73,0.073,487.87,672.52,96.94
True,SG 553,Colony IV,min,0,10,0,0,0,72.42,27.82,11.55,9.16,8.31,0.07,278.2,430.62,96.26
True,UMP-45,Wild Child,min,0,0,9,1,0,84.38,44.9,16.99,11.62,9.2,0.173,164.53,299.87,96.23
True,P250,Visions,min,3,3,4,0,0,35.05,17.14,9.06,8.15,6.76,0.081,192.81,332.32,96.17
True,UMP-45,Wild Child,min,7,0,3,0,0,84.38,44.9,16.99,11.62,9.2,0.045,641.63,846.14,94.16
True,G3SG1,Flux,min,0,10,0,0,0,51.41,25.95,13.17,11.08,10.59,0.07,259.5,406.46,93.95
False,UMP-45,Wild Child,min,0,10,0,0,0,43.65,26.21,12.53,8.64,6.7,0.07,262.1,408.57,93.18
False,P2000,Wicked Sick,min,0,10,0,0,0,43.26,26.22,12.47,8.52,6.64,0.07,262.2,408.57,93.08
True,Sawed-Off,Kiss♥Love,min,2,5,3,0,0,41.69,17.39,8.97,7.55,6.46,0.08,197.24,332.32,91.74
True,P2000,Wicked Sick,min,7,0,2,1,0,85.6,45.34,16.57,12.09,9.73,0.0679999999999999,644.43,846.14,91.36
True,Sawed-Off,Kiss♥Love,min,1,9,0,0,0,41.69,17.39,8.97,7.55,6.46,0.063,198.2,332.32,90.78
True,UMP-45,Wild Child,min,2,7,0,1,0,84.38,44.9,16.99,11.62,9.2,0.087,494.68,672.52,90.13
False,AUG,Momentum,min,0,9,1,0,0,22.29,7.31,2.39,1.8,1.7,0.078,68.18,89.87,9.97
True,P90,Vent Rush,min,1,7,2,0,0,6.27,3.6,1.65,1.67,1.32,0.079,34.77,51.45,9.97
True,MP7,Abyssal Apparition,min,0,8,2,0,0,21.8,8.23,3.98,3.02,2.73,0.086,73.8,96.33,9.96
