Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.0,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.0,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.0,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.0,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.0,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.01,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.01,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.01,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.01,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.01,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.01,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.01,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.01,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.01,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.01,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.02,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.02,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.02,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.02,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.02,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.02,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.02,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.02,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.02,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.02,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.03,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.03,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.03,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.03,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.03,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.03,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.03,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.03,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.03,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.03,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.04,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.04,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.04,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.04,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.04,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.04,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.04,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.04,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.04,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.04,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.05,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.05,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.05,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.05,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.05,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.05,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.05,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.05,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.05,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.05,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.06,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.06,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.06,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.06,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.06,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.06,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.06,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.06,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.06,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.06,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.07,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.07,Galil AR,Eco,24.11,241.1,57.02,-184.08,-161.07,-66.81
0.07,Galil AR,Eco,4.52,45.2,57.02,11.82,10.34,22.88
0.07,Galil AR,Eco,4.52,45.2,57.02,11.82,10.34,22.88
0.07,Galil AR,Eco,4.52,45.2,57.02,11.82,10.34,22.88
0.07,Galil AR,Eco,4.52,45.2,26.61,-18.59,-16.27,-36.0
0.07,Galil AR,Eco,4.52,45.2,26.61,-18.59,-16.27,-36.0
0.07,Galil AR,Eco,4.52,45.2,26.61,-18.59,-16.27,-36.0
0.07,Galil AR,Eco,4.52,45.2,26.61,-18.59,-16.27,-36.0
0.07,Galil AR,Eco,4.52,45.2,26.61,-18.59,-16.27,-36.0
0.08,Galil AR,Eco,4.52,45.2,26.61,-18.59,-16.27,-36.0
0.08,Galil AR,Eco,4.52,45.2,26.61,-18.59,-16.27,-36.0
0.08,Galil AR,Eco,4.52,45.2,26.61,-18.59,-16.27,-36.0
0.08,Galil AR,Eco,4.52,45.2,26.61,-18.59,-16.27,-36.0
0.08,Galil AR,Eco,4.52,45.2,26.61,-18.59,-16.27,-36.0
0.08,Galil AR,Eco,4.52,45.2,26.61,-18.59,-16.27,-36.0
0.08,Galil AR,Eco,4.52,45.2,26.61,-18.59,-16.27,-36.0
0.08,Galil AR,Eco,4.52,45.2,26.61,-18.59,-16.27,-36.0
