nameID,market_name,market_hash_name,border_color,image,latest,min,avg,max,mean,median,unstable,unstable_reason,first_seen
176034873,★ StatTrak™ Navaja Knife | Night Stripe,★ StatTrak™ Navaja Knife | Night Stripe (Factory New),#8650AC,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDKjBqWVY781lmf3T_Jzwt1i9rBsofTuhIoWSJgQ7aFyC-QW7kuu5gcTv7pXLmHJnunJ35nfdmRO30x9LbLRxxavJKX2NTAw,573.48,426.25,526.36,579.36,526.36,499.8655,True,NO_SALES_3PLUS_MONTHS,1549065600000
176002906,★ StatTrak™ Navaja Knife | Night Stripe (Field-Tested),★ StatTrak™ Navaja Knife | Night Stripe (Field-Tested),#8650AC,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDKjBqWVY781lmf3T_Jzwt1mxrxopPnfxd4-SdgZsMljS_lToyOu9hMK6uc6YzHs1vHQgt32Oyhe1iR8ZPOVpm7XAHjZcnWxH,609.73,57.01,79.57,609.73,79.76,71.464,True,LOW_SALES_3PLUS_MONTHS,1538434800000
176000666,★ StatTrak™ Navaja Knife | Night Stripe (Minimal Wear),★ StatTrak™ Navaja Knife | Night Stripe (Minimal Wear),#8650AC,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDKjBqWVY781lmf3T_Jzwt1i9rBsofTuhIoWSJgQ7aFyC-QW7kuu5gcTv7pXLmHJnunJ35nfdmRO30x9LbLRxxavJKX2NTAw,104.38,57.5,86.28,105.58,85.38,86.4005,True,LOW_SALES_3PLUS_MONTHS,1534633200000
176012734,★ StatTrak™ Navaja Knife | Night Stripe,★ StatTrak™ Navaja Knife | Night Stripe (Well-Worn),#8650AC,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDKjBqWVY781lmf3T_Jzwt1mxrxopPnfxd4-SdgZsMljS_lToyOu9hMK6uc6YzHs1vHQgt32Oyhe1iR8ZPOVpm7XAHjZcnWxH,110.31,46.34,469.69,1798.6,469.69,75.80199999999999,True,LOW_SALES_3PLUS_MONTHS,1551571200000
176043321,★ StatTrak™ Navaja Knife | Rust Coat (Battle-Scarred),★ StatTrak™ Navaja Knife | Rust Coat (Battle-Scarred),#8650AC,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDLrAqXhF7cB9teLP_Irwt1yxqgUlfTj7cYbHIwJtYlDQ81G-yOro0Z-87ZnMzSNm6yUl4iuJyxe0hRhMauxxxavJ4E8pCcM,94.08,57.04,74.68,108.5,74.73,73.926,True,LOW_SALES_3PLUS_MONTHS,1553817600000
176057010,★ StatTrak™ Navaja Knife | Rust Coat,★ StatTrak™ Navaja Knife | Rust Coat (Well-Worn),#8650AC,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDLrAqXhF7cB9teLP_Irwt1mxrxopPnf3coCVJlI2ZA2C81HoxL_ugcS6uprKzSZj7nQhty7YykO1hEtObew5m7XAHnUQUcBH,90.13,56.3,76.84,90.13,76.84,89.017,True,LOW_SALES_3PLUS_MONTHS,1560553200000
176001427,★ StatTrak™ Navaja Knife | Safari Mesh (Battle-Scarred),★ StatTrak™ Navaja Knife | Safari Mesh (Battle-Scarred),#8650AC,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDKjBqWZU-81OnujPyoTwiUKt5UBpNWGlcIaSegI6Zw3Y-wS_k7ro0MC97ZmayHpm7nV25y7eykG_iRtSLrs4VfwQtfs,79.43,54.64,66.54,79.43,66.54,64.506,True,LOW_SALES_3PLUS_MONTHS,1534374000000
176034316,★ StatTrak™ Navaja Knife | Safari Mesh,★ StatTrak™ Navaja Knife | Safari Mesh (Factory New),#8650AC,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDKjBqWZU-81OnujPyoD8j1yg5RVkMjz6coXGdwBsMg3Z-FS9k-_v0Z7vv5TJwXtn7HFz5nvZyxa31ExSLrs4rFNj120,255.11,255.11,255.11,255.11,255.11,,True,LOW_SALES_3PLUS_MONTHS,1548460800000
176002004,★ StatTrak™ Navaja Knife | Safari Mesh (Field-Tested),★ StatTrak™ Navaja Knife | Safari Mesh (Field-Tested),#8650AC,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDKjBqWZU-81OnujPyoHwjF2hpl1pZW7yIILEIAE7Yl-B-1S3kui8h8e66ZmfwXBlvXQntH-LnEC31RpNcKUx0k3BV_h3,90.5,48.87,91.86,956.8,84.77,67.81,True,LOW_SALES_3PLUS_MONTHS,1534287600000
176024493,★ StatTrak™ Navaja Knife | Safari Mesh (Minimal Wear),★ StatTrak™ Navaja Knife | Safari Mesh (Minimal Wear),#8650AC,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDKjBqWZU-81OnujPyoD8j1yg5RVkMjz6coXGdwBsMg3Z-FS9k-_v0Z7vv5TJwXtn7HFz5nvZyxa31ExSLrs4rFNj120,81.26,56.93,542.4,1798.6,503.24,84.973,True,LOW_SALES_3PLUS_MONTHS,1547424000000
