Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.1,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.1,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.1,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.1,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.1,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.1,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.1,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.1,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.1,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.1,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.11,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.11,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.11,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.11,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.11,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.11,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.11,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.11,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.11,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.11,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.12,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.12,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.12,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.12,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.12,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.12,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.12,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.12,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.12,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.12,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.13,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.13,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.13,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.13,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.13,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.13,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.13,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.13,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.13,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.13,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.14,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.14,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.14,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.14,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.14,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.14,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.14,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.14,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.14,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.14,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.15,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.15,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.15,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.15,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
