Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.0,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.0,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.0,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.0,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.0,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.01,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.01,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.01,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.01,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.01,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.01,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.01,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.01,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.01,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.01,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.02,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.02,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.02,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.02,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.02,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.02,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.02,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.02,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.02,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.02,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.03,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.03,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.03,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.03,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.03,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.03,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.03,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.03,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.03,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.03,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.04,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.04,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.04,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.04,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.04,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.04,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.04,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.04,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.04,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.04,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.05,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.05,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.05,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.05,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.05,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.05,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.05,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.05,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.05,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.05,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.06,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.06,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.06,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.06,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.06,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.06,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.06,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.06,UMP-45,Grand Prix,0.43,4.3,14.86,10.56,9.24,214.88
0.06,UMP-45,Grand Prix,0.43,4.3,12.27,7.97,6.97,162.09
0.06,UMP-45,Grand Prix,0.43,4.3,12.27,7.97,6.97,162.09
0.07,UMP-45,Grand Prix,0.43,4.3,12.27,7.97,6.97,162.09
0.07,UMP-45,Grand Prix,0.43,4.3,12.27,7.97,6.97,162.09
0.07,UMP-45,Grand Prix,0.43,4.3,5.74,1.44,1.26,29.3
0.07,UMP-45,Grand Prix,0.43,4.3,5.74,1.44,1.26,29.3
0.07,UMP-45,Grand Prix,0.43,4.3,5.74,1.44,1.26,29.3
0.07,UMP-45,Grand Prix,0.43,4.3,3.82,-0.48,-0.42,-9.77
0.07,UMP-45,Grand Prix,0.43,4.3,3.82,-0.48,-0.42,-9.77
0.07,UMP-45,Grand Prix,0.43,4.3,3.82,-0.48,-0.42,-9.77
0.07,UMP-45,Grand Prix,0.43,4.3,3.82,-0.48,-0.42,-9.77
0.07,UMP-45,Grand Prix,0.43,4.3,3.82,-0.48,-0.42,-9.77
0.08,UMP-45,Grand Prix,0.43,4.3,3.82,-0.48,-0.42,-9.77
0.08,UMP-45,Grand Prix,0.43,4.3,3.82,-0.48,-0.42,-9.77
