Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.0,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.0,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.0,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.0,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.0,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.01,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.01,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.01,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.01,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.01,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.01,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.01,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.01,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.01,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.01,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.02,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.02,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.02,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.02,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.02,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.02,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.02,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.02,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.02,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.02,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.03,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.03,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.03,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.03,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.03,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
0.03,AWP,Worm God,3.01,30.1,14.86,-15.24,-13.34,-44.32
