Stattrak,Weapon Name,Skin Name,Range Delimeter,#FN,#MW,#FT,#WW,#BS,$FN,$MW,$FT,$WW,$BS,floatAvg,Avg Cost,Avg Profit,Net Profit After Steam ($)
True,FAMAS,Djinn,Max,0,0,10,0,0,23.72,8.31,4.52,3.44,3.31,0.15,45.2,64.97,11.3
True,FAMAS,Djinn,Max,0,10,0,0,0,23.72,8.31,4.52,3.44,3.31,0.069,83.1,176.67,70.52
