nameID,market_name,market_hash_name,border_color,image,latest,min,avg,max,mean,median,unstable,unstable_reason,first_seen
175945605,Sticker | dupreeh (Gold) | Boston 2018,Sticker | dupreeh (Gold) | Boston 2018,#D2D2D2,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRfQ1_ESOr_h56LHE59IjtTo6q3LgJo7PTHfTkM6t_jw4aIx6KnZbnTzjgJ7JEh3bmR8Nil2Abk80tqNWqicY-QdwRoNUaQpAbSRZT6oQ,172.03,3.0,22.24,333.84,33.26,13.185,True,NO_SALES_3PLUS_MONTHS,1514678400000
176036954,Sticker | dupreeh (Gold) | Katowice 2019,Sticker | dupreeh (Gold) | Katowice 2019,#D2D2D2,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRWTVjfUO2u0p2DAgQ7Ng1Qib6wOxVl1vv3djJO6JLnwIXawPatZ77UxTtT6pYjj7yX8N6g3Fe3qEZkNzv3I9SWe1A3Z1nV5BHgliHRXDcm,46.88,46.88,51.48,57.42,51.48,54.71,True,LOW_SALES_3PLUS_MONTHS,1549670400000
175905942,Sticker | dupreeh (Gold) | Krakow 2017,Sticker | dupreeh (Gold) | Krakow 2017,#D2D2D2,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRWXk3bSPP_h56EHE59IjtTo6q3LgJo7PTHfTkM7t3ul9KIzvWiYb7Vwm4HvJwiibjA942g2Qa3r0ZlYDygd9KQcgQ5NEaQpAazpKAgNQ,489.49,406.91,448.2,489.49,448.2,489.49,True,LOW_SALES_3PLUS_MONTHS,1499382000000
176004519,Sticker | dupreeh (Gold) | London 2018,Sticker | dupreeh (Gold) | London 2018,#D2D2D2,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRRQ0LUSOr_h56LHE59IjtTo6q3LgJo7PTHfTkMu47nkdXTw6Oia-PQlD9S7pcn0rnAotSsjVfnqUc-MW30J9eWIwU7YUaQpAZEhFQqsQ,68.24,68.24,68.24,68.24,68.24,,True,LOW_SALES_3PLUS_MONTHS,1535842800000
176340051,Sticker | dupreeh (Gold) | Rio 2022,Sticker | dupreeh (Gold) | Rio 2022,D2D2D2,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRPRUOCF7b_mNzaVGJwMBRFs7-tFABv3_f3fTxQ69n4kYONwaeiN-LTwW8FvJ0pieySpdii2ASw_hA9N231cYaccwY8Y1yCr0_-n7m9JZgaLQ,15.9,4.23,6.9,15.9,6.8,5.79,True,LOW_SALES_MONTH,1666447200000
176312210,Sticker | dupreeh (Holo) | Antwerp 2022,Sticker | dupreeh (Holo) | Antwerp 2022,D2D2D2,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRcQljHQva9hZ-BARJnLANosq-1OQJl28zAfjFN09C3hoeO2a6gY-iCxW8CusZyjr2Yp9Xz3AHn_0s5YWDxLYHGcAQ6NV7Z_gK2yL3xxcjrKN0STxk,3.92,1.02,3.51,5.78,3.4,3.65,False,False,1651622400000
176339912,Sticker | dupreeh (Holo) | Rio 2022,Sticker | dupreeh (Holo) | Rio 2022,D2D2D2,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRPRUOCF7b_mNzaVGJwMBRFs7-tFA9v3_z3fTxQ69n4xtLTlfSsY-vXzmlSucEh3OqX8dTx2FXkqEBuazqgdtXAdQZrZgzZ_0_-n7nb_neCeg,3.11,0.98,1.97,4.01,1.95,2.02,False,False,1666393200000
176312118,Sticker | dupreeh | Antwerp 2022,Sticker | dupreeh | Antwerp 2022,D2D2D2,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRcQljHQva9hZ-BARJnLANosq-1OQJl28zEcC9F6ZKwwtOOxqGsariIlG4A6ZUnj7vFpN_wjlbsqhc6ZTr0IIfHIFI_aF7R5BHglpEy_2OH,0.03,0.03,0.03,0.03,0.03,0.03,False,False,1651622400000
175865643,Sticker | dupreeh | Atlanta 2017,Sticker | dupreeh | Atlanta 2017,#D2D2D2,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRcWEDRSfCshZ-CBBJnLANosq-1OQJl272RIG1H7oqykdPfkvOlNeyCwzgCuJEj072Q84733wTgqhI4ZzyiJteXbEZgNjCmZNcm,2.83,0.78,2.62,3.42,2.67,2.7,True,LOW_SALES_3PLUS_MONTHS,1484265600000
176079728,Sticker | dupreeh | Berlin 2019,Sticker | dupreeh | Berlin 2019,D2D2D2,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRfSV7cTur_h56KHE59IjtTo6q3LgJonfeYIjkWuN-1kNHcxK-kMbmGkzoC6ZF3i-rDrd-s0Abg_xVvNT2gLYWLMlhpd0DOmHY,0.04,0.03,0.03,0.06,0.03,0.03,False,False,1565737200000
175945318,Sticker | dupreeh | Boston 2018,Sticker | dupreeh | Boston 2018,#D2D2D2,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRfQ1_ESOr_h56LHE59IjtTo6q3LgJonaHKcGpD7t3jkNDZkvT3MOPSlzsBuMFz3LuSpdSk0ADi_hdpZGjxctCLMlhpd2HA4HU,1.7,0.92,1.38,3.01,1.37,1.274,True,LOW_SALES_3PLUS_MONTHS,1513728000000
