itemID,itemType,itemMarketName,medianPrice
61699350,Capsule,Autograph Capsule | Team Immunity | Cologne 2015,7.32
61699218,Capsule,Autograph Capsule | Renegades | Cologne 2015,5.5
157485864,Capsule,Autograph Capsule | Virtus.Pro | Cologne 2016,6.46
157485784,Capsule,Autograph Capsule | OpTic Gaming | Cologne 2016,6.67
144428735,Capsule,Autograph Capsule | Flipsid3 Tactics | MLG Columbus 2016,4.88
157485960,Capsule,Autograph Capsule | Counter Logic Gaming | Cologne 2016,10.58
175865728,Capsule,Autograph Capsule | Fnatic | Atlanta 2017,3.9
175865760,Capsule,Autograph Capsule | Gambit Gaming | Atlanta 2017,4.57
175865635,Capsule,Autograph Capsule | Legends (Foil) | Atlanta 2017,81.34
175865767,Capsule,Autograph Capsule | Flipsid3 Tactics | Atlanta 2017,6.45
175865652,Capsule,Autograph Capsule | Team EnVyUs | Atlanta 2017,7.75
175865709,Capsule,Autograph Capsule | SK Gaming | Atlanta 2017,5.18
175865746,Capsule,Autograph Capsule | G2 Esports | Atlanta 2017,4.57
175865737,Capsule,Autograph Capsule | FaZe Clan | Atlanta 2017,5.71
175865561,Capsule,Autograph Capsule | Astralis | Atlanta 2017,6.14
175865695,Capsule,Autograph Capsule | North | Atlanta 2017,5.88
175865600,Capsule,Autograph Capsule | HellRaisers | Atlanta 2017,5.25
175865732,Capsule,Autograph Capsule | OpTic Gaming | Atlanta 2017,10.65
175865762,Capsule,Autograph Capsule | mousesports | Atlanta 2017,8.64
175865747,Capsule,Autograph Capsule | Team Liquid | Atlanta 2017,9.68
175865633,Capsule,Autograph Capsule | GODSENT | Atlanta 2017,4.0
175865696,Capsule,Autograph Capsule | Natus Vincere | Atlanta 2017,20.95
175865714,Capsule,Autograph Capsule | Challengers (Foil) | Atlanta 2017,46.89
175865734,Capsule,Autograph Capsule | Virtus.Pro | Atlanta 2017,4.08
175966710,Capsule,Community Capsule 2018,1.01
175970591,Capsule,Collectible Pins Capsule Series 3,10.42
176020985,Capsule,Skill Groups Capsule,0.99
176045181,Capsule,Feral Predators Capsule,1.05
176058881,Capsule,Chicken Capsule,1.03
