Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.0,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.0,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.0,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.0,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.0,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.01,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.01,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.01,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.01,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.01,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.01,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.01,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.01,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.01,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.01,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.02,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.02,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.02,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.02,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.02,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.02,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.02,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
0.02,Desert Eagle,Bronze Deco,0.69,6.9,2.06,-4.84,-4.23,-61.3
