Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.0,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.0,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.0,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.0,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.0,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.01,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.01,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.01,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.01,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.01,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.01,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.01,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.01,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.01,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.01,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.02,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.02,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.02,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.02,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.02,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.02,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.02,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.02,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.02,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.02,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.03,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.03,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.03,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.03,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.03,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.03,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.03,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.03,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.03,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.03,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.04,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.04,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.04,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.04,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.04,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.04,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.04,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.04,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.04,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.04,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.05,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.05,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.05,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.05,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
0.05,Negev,Man-o'-war,0.15,1.5,2.06,0.56,0.49,32.67
