Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.0,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.0,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.0,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.0,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.0,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.01,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.01,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.01,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.01,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.01,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.01,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.01,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.01,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.01,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.01,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.02,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.02,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.02,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.02,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.02,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.02,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.02,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.02,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.02,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.02,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.03,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.03,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.03,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.03,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.03,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.03,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.03,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.03,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.03,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.03,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.04,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.04,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.04,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.04,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.04,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.04,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.04,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.04,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.04,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.04,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
0.05,AK-47,Elite Build,5.37,53.7,2.06,-51.64,-45.19,-84.15
