Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.0,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.0,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.0,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.0,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.0,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.01,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.01,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.01,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.01,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.01,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.01,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.01,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.01,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.01,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.01,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.02,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.02,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.02,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.02,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.02,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.02,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.02,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.02,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.02,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.02,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.03,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.03,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.03,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.03,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.03,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.03,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.03,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.03,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.03,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.03,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.04,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.04,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.04,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.04,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.04,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.04,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.04,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.04,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
0.04,MP7,Armor Core,0.31,3.1,2.06,-1.04,-0.91,-29.35
