StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
0,Negev,Desert-Strike,Well-Worn,Mil_Spec Grade,Operation Breakout Weapon Case,0.13,1.3,0.72,-0.58,-0.51,-39.23
0,CZ75-Auto,Tigris,Well-Worn,Restricted,Operation Breakout Weapon Case,0.49,4.9,4.34,-0.56,-0.49,-10.0
1,P2000,Ivory,Battle-Scarred,Mil_Spec Grade,Operation Breakout Weapon Case,0.16,1.6,1.04,-0.56,-0.49,-30.62
0,MP7,Urban Hazard,Well-Worn,Mil_Spec Grade,Operation Breakout Weapon Case,0.12,1.2,0.72,-0.48,-0.42,-35.0
0,Negev,Desert-Strike,Battle-Scarred,Mil_Spec Grade,Operation Breakout Weapon Case,0.1,1.0,0.53,-0.47,-0.41,-41.0
0,MP7,Urban Hazard,Field-Tested,Mil_Spec Grade,Operation Breakout Weapon Case,0.11,1.1,0.64,-0.46,-0.4,-36.36
0,Negev,Desert-Strike,Field-Tested,Mil_Spec Grade,Operation Breakout Weapon Case,0.1,1.0,0.64,-0.36,-0.32,-32.0
0,P2000,Ivory,Battle-Scarred,Mil_Spec Grade,Operation Breakout Weapon Case,0.09,0.8999999999999999,0.53,-0.37,-0.32,-35.56
0,P2000,Ivory,Field-Tested,Mil_Spec Grade,Operation Breakout Weapon Case,0.1,1.0,0.64,-0.36,-0.32,-32.0
0,UMP-45,Labyrinth,Field-Tested,Mil_Spec Grade,Operation Breakout Weapon Case,0.1,1.0,0.64,-0.36,-0.32,-32.0
0,P2000,Ivory,Well-Worn,Mil_Spec Grade,Operation Breakout Weapon Case,0.09,0.8999999999999999,0.72,-0.18,-0.16,-17.78
1,P2000,Ivory,Well-Worn,Mil_Spec Grade,Operation Breakout Weapon Case,0.16,1.6,1.45,-0.15,-0.13,-8.12
