StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
1,CZ75-Auto,Red Astor,Minimal Wear,Restricted,Chroma 3 Case,1.45,14.5,22.13,7.63,6.68,46.07
1,Tec-9,Re-Entry,Minimal Wear,Restricted,Chroma 3 Case,1.61,16.1,22.13,6.03,5.28,32.8
1,Galil AR,Firefight,Minimal Wear,Restricted,Chroma 3 Case,1.62,16.200000000000003,22.13,5.93,5.19,32.04
0,Tec-9,Re-Entry,Minimal Wear,Restricted,Chroma 3 Case,0.72,7.199999999999999,8.79,1.59,1.39,19.31
0,CZ75-Auto,Red Astor,Minimal Wear,Restricted,Chroma 3 Case,0.74,7.4,8.79,1.39,1.22,16.49
0,Galil AR,Firefight,Minimal Wear,Restricted,Chroma 3 Case,0.77,7.7,8.79,1.09,0.95,12.34
0,XM1014,Black Tie,Minimal Wear,Restricted,Chroma 3 Case,0.81,8.100000000000001,8.79,0.69,0.6,7.41
1,UMP-45,Primal Saber,Field-Tested,Classified,Chroma 3 Case,4.07,40.7,29.63,-11.07,-9.69,-23.81
1,AUG,Fleet Flock,Factory New,Classified,Chroma 3 Case,22.7,227.0,133.02,-93.98,-82.23,-36.22
1,UMP-45,Primal Saber,Battle-Scarred,Classified,Chroma 3 Case,3.11,31.099999999999998,20.82,-10.28,-8.99,-28.91
0,P250,Asiimov,Battle-Scarred,Classified,Chroma 3 Case,1.93,19.3,9.61,-9.69,-8.48,-43.94
1,SSG 08,Ghost Crusader,Battle-Scarred,Restricted,Chroma 3 Case,1.41,14.1,4.53,-9.57,-8.37,-59.36
1,SSG 08,Ghost Crusader,Well-Worn,Restricted,Chroma 3 Case,1.49,14.9,5.41,-9.49,-8.3,-55.7
0,XM1014,Black Tie,Factory New,Restricted,Chroma 3 Case,1.81,18.1,8.89,-9.21,-8.06,-44.53
1,AUG,Fleet Flock,Field-Tested,Classified,Chroma 3 Case,3.88,38.8,29.63,-9.17,-8.02,-20.67
1,SSG 08,Ghost Crusader,Factory New,Restricted,Chroma 3 Case,10.69,106.89999999999999,21.0,-85.9,-75.16,-70.31
1,P250,Asiimov,Field-Tested,Classified,Chroma 3 Case,10.98,109.80000000000001,29.63,-80.17,-70.15,-63.89
1,AUG,Fleet Flock,Battle-Scarred,Classified,Chroma 3 Case,2.97,29.700000000000003,20.82,-8.88,-7.77,-26.16
0,AUG,Fleet Flock,Battle-Scarred,Classified,Chroma 3 Case,1.8,18.0,9.61,-8.39,-7.34,-40.78
0,UMP-45,Primal Saber,Field-Tested,Classified,Chroma 3 Case,2.3,23.0,14.74,-8.26,-7.23,-31.43
0,Galil AR,Firefight,Factory New,Restricted,Chroma 3 Case,1.7,17.0,8.89,-8.11,-7.1,-41.76
1,AUG,Fleet Flock,Well-Worn,Classified,Chroma 3 Case,3.02,30.2,22.41,-7.79,-6.82,-22.58
1,P250,Asiimov,Well-Worn,Classified,Chroma 3 Case,8.93,89.3,22.41,-66.89,-58.53,-65.54
1,UMP-45,Primal Saber,Factory New,Classified,Chroma 3 Case,19.31,193.1,133.02,-60.08,-52.57,-27.22
1,XM1014,Black Tie,Well-Worn,Restricted,Chroma 3 Case,1.21,12.1,5.41,-6.69,-5.85,-48.35
1,Tec-9,Re-Entry,Well-Worn,Restricted,Chroma 3 Case,1.2,12.0,5.41,-6.59,-5.77,-48.08
0,AUG,Fleet Flock,Well-Worn,Classified,Chroma 3 Case,1.78,17.8,11.47,-6.33,-5.54,-31.12
1,MP9,Bioleak,Well-Worn,Mil_Spec Grade,Chroma 3 Case,0.73,7.3,1.04,-6.26,-5.48,-75.07
0,AUG,Fleet Flock,Field-Tested,Classified,Chroma 3 Case,2.09,20.9,14.74,-6.16,-5.39,-25.79
1,P250,Asiimov,Battle-Scarred,Classified,Chroma 3 Case,7.51,75.1,20.82,-54.28,-47.5,-63.25
1,XM1014,Black Tie,Factory New,Restricted,Chroma 3 Case,7.01,70.1,21.0,-49.1,-42.96,-61.28
1,MP9,Bioleak,Minimal Wear,Mil_Spec Grade,Chroma 3 Case,0.77,7.7,2.4,-5.3,-4.64,-60.26
0,SSG 08,Ghost Crusader,Minimal Wear,Restricted,Chroma 3 Case,1.4,14.0,8.79,-5.21,-4.56,-32.57
1,P2000,Oceanic,Well-Worn,Mil_Spec Grade,Chroma 3 Case,0.62,6.2,1.04,-5.16,-4.52,-72.9
1,XM1014,Black Tie,Minimal Wear,Restricted,Chroma 3 Case,2.73,27.3,22.13,-5.17,-4.52,-16.56
1,MP9,Bioleak,Factory New,Mil_Spec Grade,Chroma 3 Case,1.09,10.9,6.14,-4.76,-4.17,-38.26
