StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
0,Dual Berettas,Flora Carnivora,Field-Tested,Restricted,Recoil Case,1.04,10.4,8.86,-1.54,-1.35,-12.98
0,R8 Revolver,Crazy 8,Field-Tested,Restricted,Recoil Case,1.04,10.4,8.86,-1.54,-1.35,-12.98
1,Galil AR,Destroyer,Minimal Wear,Mil_Spec Grade,Recoil Case,0.52,5.2,3.67,-1.53,-1.34,-25.77
1,Glock-18,Winterized,Battle-Scarred,Mil_Spec Grade,Recoil Case,0.28,2.8000000000000003,1.28,-1.52,-1.33,-47.5
0,M249,Downtown,Field-Tested,Restricted,Recoil Case,1.03,10.3,8.86,-1.44,-1.26,-12.23
1,Glock-18,Winterized,Well-Worn,Mil_Spec Grade,Recoil Case,0.29,2.9,1.51,-1.39,-1.22,-42.07
0,M249,Downtown,Battle-Scarred,Restricted,Recoil Case,0.74,7.4,6.08,-1.32,-1.16,-15.68
0,Dual Berettas,Flora Carnivora,Battle-Scarred,Restricted,Recoil Case,0.74,7.4,6.08,-1.32,-1.16,-15.68
0,SG 553,Dragon Tech,Battle-Scarred,Restricted,Recoil Case,0.74,7.4,6.08,-1.32,-1.16,-15.68
1,M249,Downtown,Factory New,Restricted,Recoil Case,6.08,60.8,59.63,-1.17,-1.02,-1.68
0,R8 Revolver,Crazy 8,Battle-Scarred,Restricted,Recoil Case,0.72,7.199999999999999,6.08,-1.12,-0.98,-13.61
1,Galil AR,Destroyer,Battle-Scarred,Mil_Spec Grade,Recoil Case,0.24,2.4,1.28,-1.12,-0.98,-40.83
0,Negev,Drop Me,Factory New,Mil_Spec Grade,Recoil Case,0.42,4.2,3.1,-1.1,-0.96,-22.86
1,FAMAS,Meow 36,Field-Tested,Mil_Spec Grade,Recoil Case,0.27,2.7,1.74,-0.96,-0.84,-31.11
0,Galil AR,Destroyer,Factory New,Mil_Spec Grade,Recoil Case,0.4,4.0,3.1,-0.9,-0.79,-19.75
1,FAMAS,Meow 36,Battle-Scarred,Mil_Spec Grade,Recoil Case,0.21,2.1,1.28,-0.82,-0.72,-34.29
1,MAC-10,Monkeyflage,Minimal Wear,Mil_Spec Grade,Recoil Case,0.44,4.4,3.67,-0.73,-0.64,-14.55
1,Galil AR,Destroyer,Field-Tested,Mil_Spec Grade,Recoil Case,0.24,2.4,1.74,-0.66,-0.58,-24.17
0,P90,Vent Rush,Well-Worn,Restricted,Recoil Case,0.92,9.200000000000001,8.54,-0.66,-0.58,-6.3
0,SG 553,Dragon Tech,Well-Worn,Restricted,Recoil Case,0.92,9.200000000000001,8.54,-0.66,-0.58,-6.3
1,FAMAS,Meow 36,Well-Worn,Mil_Spec Grade,Recoil Case,0.21,2.1,1.51,-0.59,-0.52,-24.76
