StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
0,MP7,Armor Core,Minimal Wear,Mil_Spec Grade,Chroma 2 Case,0.19,1.9,1.22,-0.68,-0.6,-31.58
0,Sawed-Off,Origami,Minimal Wear,Mil_Spec Grade,Chroma 2 Case,0.19,1.9,1.22,-0.68,-0.6,-31.58
1,Sawed-Off,Origami,Well-Worn,Mil_Spec Grade,Chroma 2 Case,0.32,3.2,2.58,-0.62,-0.54,-16.88
0,Sawed-Off,Origami,Factory New,Mil_Spec Grade,Chroma 2 Case,0.32,3.2,2.6,-0.6,-0.53,-16.56
0,MP7,Armor Core,Well-Worn,Mil_Spec Grade,Chroma 2 Case,0.15,1.5,0.91,-0.59,-0.52,-34.67
0,Negev,Man-o'-war,Field-Tested,Mil_Spec Grade,Chroma 2 Case,0.13,1.3,0.78,-0.52,-0.46,-35.38
0,MP7,Armor Core,Factory New,Mil_Spec Grade,Chroma 2 Case,0.31,3.1,2.6,-0.5,-0.44,-14.19
1,CZ75-Auto,Pole Position,Field-Tested,Restricted,Chroma 2 Case,0.66,6.6000000000000005,6.11,-0.49,-0.43,-6.52
0,MP7,Armor Core,Field-Tested,Mil_Spec Grade,Chroma 2 Case,0.12,1.2,0.78,-0.42,-0.37,-30.83
0,Sawed-Off,Origami,Field-Tested,Mil_Spec Grade,Chroma 2 Case,0.12,1.2,0.78,-0.42,-0.37,-30.83
1,MP7,Armor Core,Well-Worn,Mil_Spec Grade,Chroma 2 Case,0.29,2.9,2.58,-0.32,-0.28,-9.66
0,Negev,Man-o'-war,Minimal Wear,Mil_Spec Grade,Chroma 2 Case,0.15,1.5,1.22,-0.28,-0.25,-16.67
1,UMP-45,Grand Prix,Field-Tested,Restricted,Chroma 2 Case,0.64,6.4,6.11,-0.29,-0.25,-3.91
