StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
0,Glock-18,Moonrise,Well-Worn,Restricted,Clutch Case,0.48,4.8,2.3,-2.5,-2.19,-45.62
1,AUG,Stymphalian,Battle-Scarred,Classified,Clutch Case,2.85,28.5,6.59,-21.91,-19.17,-67.26
1,USP-S,Cortex,Factory New,Classified,Clutch Case,27.38,273.8,60.61,-213.19,-186.54,-68.13
0,AWP,Mortis,Battle-Scarred,Classified,Clutch Case,2.4,24.0,3.21,-20.79,-18.19,-75.79
0,USP-S,Cortex,Field-Tested,Classified,Clutch Case,2.47,24.700000000000003,4.36,-20.34,-17.8,-72.06
0,AWP,Mortis,Field-Tested,Classified,Clutch Case,2.31,23.1,4.36,-18.74,-16.4,-71.0
1,AUG,Stymphalian,Field-Tested,Classified,Clutch Case,2.81,28.1,9.39,-18.71,-16.37,-58.26
1,AUG,Stymphalian,Well-Worn,Classified,Clutch Case,2.77,27.7,9.08,-18.62,-16.29,-58.81
1,MAG-7,SWAG-7,Factory New,Restricted,Clutch Case,3.85,38.5,20.28,-18.22,-15.94,-41.4
0,USP-S,Cortex,Well-Worn,Classified,Clutch Case,2.18,21.8,3.94,-17.86,-15.63,-71.7
0,USP-S,Cortex,Battle-Scarred,Classified,Clutch Case,1.96,19.6,3.21,-16.39,-14.34,-73.16
1,Glock-18,Moonrise,Factory New,Restricted,Clutch Case,3.5,35.0,20.28,-14.72,-12.88,-36.8
0,AUG,Stymphalian,Field-Tested,Classified,Clutch Case,1.88,18.799999999999997,4.36,-14.44,-12.63,-67.18
0,AUG,Stymphalian,Battle-Scarred,Classified,Clutch Case,1.67,16.7,3.21,-13.49,-11.8,-70.66
0,AUG,Stymphalian,Well-Worn,Classified,Clutch Case,1.72,17.2,3.94,-13.26,-11.6,-67.44
1,AWP,Mortis,Factory New,Classified,Clutch Case,18.14,181.4,60.61,-120.79,-105.69,-58.26
0,Glock-18,Moonrise,Battle-Scarred,Restricted,Clutch Case,0.4,4.0,2.01,-1.99,-1.74,-43.5
0,Glock-18,Moonrise,Field-Tested,Restricted,Clutch Case,0.42,4.2,2.22,-1.98,-1.73,-41.19
1,UMP-45,Arctic Wolf,Well-Worn,Restricted,Clutch Case,0.68,6.800000000000001,4.98,-1.82,-1.59,-23.38
0,Nova,Wild Six,Field-Tested,Restricted,Clutch Case,0.4,4.0,2.22,-1.78,-1.56,-39.0
0,Negev,Lionfish,Field-Tested,Restricted,Clutch Case,0.4,4.0,2.22,-1.78,-1.56,-39.0
0,MAG-7,SWAG-7,Field-Tested,Restricted,Clutch Case,0.4,4.0,2.22,-1.78,-1.56,-39.0
0,R8 Revolver,Grip,Factory New,Mil_Spec Grade,Clutch Case,0.3,3.0,1.29,-1.71,-1.5,-50.0
0,UMP-45,Arctic Wolf,Well-Worn,Restricted,Clutch Case,0.39,3.9000000000000004,2.3,-1.6,-1.4,-35.9
0,UMP-45,Arctic Wolf,Field-Tested,Restricted,Clutch Case,0.38,3.8,2.22,-1.58,-1.38,-36.32
1,Five-SeveN,Flame Test,Minimal Wear,Mil_Spec Grade,Clutch Case,0.29,2.9,1.38,-1.52,-1.33,-45.86
0,MAG-7,SWAG-7,Battle-Scarred,Restricted,Clutch Case,0.35,3.5,2.01,-1.49,-1.3,-37.14
0,Nova,Wild Six,Battle-Scarred,Restricted,Clutch Case,0.35,3.5,2.01,-1.49,-1.3,-37.14
1,R8 Revolver,Grip,Minimal Wear,Mil_Spec Grade,Clutch Case,0.28,2.8000000000000003,1.38,-1.42,-1.24,-44.29
1,MP9,Black Sand,Minimal Wear,Mil_Spec Grade,Clutch Case,0.28,2.8000000000000003,1.38,-1.42,-1.24,-44.29
0,P2000,Urban Hazard,Factory New,Mil_Spec Grade,Clutch Case,0.27,2.7,1.29,-1.41,-1.23,-45.56
0,Five-SeveN,Flame Test,Factory New,Mil_Spec Grade,Clutch Case,0.27,2.7,1.29,-1.41,-1.23,-45.56
0,MP9,Black Sand,Factory New,Mil_Spec Grade,Clutch Case,0.27,2.7,1.29,-1.41,-1.23,-45.56
0,Negev,Lionfish,Battle-Scarred,Restricted,Clutch Case,0.34,3.4000000000000004,2.01,-1.39,-1.22,-35.88
0,UMP-45,Arctic Wolf,Battle-Scarred,Restricted,Clutch Case,0.34,3.4000000000000004,2.01,-1.39,-1.22,-35.88
1,Nova,Wild Six,Well-Worn,Restricted,Clutch Case,0.63,6.3,4.98,-1.32,-1.16,-18.41
1,SG 553,Aloha,Minimal Wear,Mil_Spec Grade,Clutch Case,0.27,2.7,1.38,-1.32,-1.16,-42.96
1,PP-Bizon,Night Riot,Minimal Wear,Mil_Spec Grade,Clutch Case,0.27,2.7,1.38,-1.32,-1.16,-42.96
0,MAG-7,SWAG-7,Well-Worn,Restricted,Clutch Case,0.36,3.5999999999999996,2.3,-1.3,-1.14,-31.67
0,Nova,Wild Six,Well-Worn,Restricted,Clutch Case,0.36,3.5999999999999996,2.3,-1.3,-1.14,-31.67
1,UMP-45,Arctic Wolf,Field-Tested,Restricted,Clutch Case,0.59,5.8999999999999995,4.64,-1.26,-1.1,-18.64
1,P2000,Urban Hazard,Minimal Wear,Mil_Spec Grade,Clutch Case,0.26,2.6,1.38,-1.22,-1.07,-41.15
1,XM1014,Oxide Blaze,Minimal Wear,Mil_Spec Grade,Clutch Case,0.26,2.6,1.38,-1.22,-1.07,-41.15
0,XM1014,Oxide Blaze,Factory New,Mil_Spec Grade,Clutch Case,0.25,2.5,1.29,-1.21,-1.06,-42.4
0,PP-Bizon,Night Riot,Factory New,Mil_Spec Grade,Clutch Case,0.25,2.5,1.29,-1.21,-1.06,-42.4
0,Negev,Lionfish,Well-Worn,Restricted,Clutch Case,0.35,3.5,2.3,-1.2,-1.05,-30.0
1,Negev,Lionfish,Field-Tested,Restricted,Clutch Case,0.58,5.8,4.64,-1.16,-1.01,-17.41
0,SG 553,Aloha,Factory New,Mil_Spec Grade,Clutch Case,0.24,2.4,1.29,-1.11,-0.97,-40.42
1,MAG-7,SWAG-7,Field-Tested,Restricted,Clutch Case,0.56,5.6000000000000005,4.64,-0.96,-0.84,-15.0
1,Five-SeveN,Flame Test,Well-Worn,Mil_Spec Grade,Clutch Case,0.17,1.7000000000000002,0.79,-0.91,-0.8,-47.06
1,Nova,Wild Six,Field-Tested,Restricted,Clutch Case,0.55,5.5,4.64,-0.86,-0.75,-13.64
1,Five-SeveN,Flame Test,Battle-Scarred,Mil_Spec Grade,Clutch Case,0.14,1.4000000000000001,0.55,-0.85,-0.74,-52.86
1,Negev,Lionfish,Battle-Scarred,Restricted,Clutch Case,0.53,5.300000000000001,4.52,-0.78,-0.68,-12.83
1,MP9,Black Sand,Field-Tested,Mil_Spec Grade,Clutch Case,0.14,1.4000000000000001,0.64,-0.76,-0.67,-47.86
1,Five-SeveN,Flame Test,Field-Tested,Mil_Spec Grade,Clutch Case,0.14,1.4000000000000001,0.64,-0.76,-0.67,-47.86
1,SG 553,Aloha,Battle-Scarred,Mil_Spec Grade,Clutch Case,0.13,1.3,0.55,-0.75,-0.66,-50.77
1,XM1014,Oxide Blaze,Battle-Scarred,Mil_Spec Grade,Clutch Case,0.13,1.3,0.55,-0.75,-0.66,-50.77
1,SG 553,Aloha,Well-Worn,Mil_Spec Grade,Clutch Case,0.15,1.5,0.79,-0.71,-0.62,-41.33
1,SG 553,Aloha,Field-Tested,Mil_Spec Grade,Clutch Case,0.13,1.3,0.64,-0.66,-0.58,-44.62
1,XM1014,Oxide Blaze,Field-Tested,Mil_Spec Grade,Clutch Case,0.13,1.3,0.64,-0.66,-0.58,-44.62
1,P2000,Urban Hazard,Battle-Scarred,Mil_Spec Grade,Clutch Case,0.12,1.2,0.55,-0.65,-0.57,-47.5
1,R8 Revolver,Grip,Battle-Scarred,Mil_Spec Grade,Clutch Case,0.12,1.2,0.55,-0.65,-0.57,-47.5
1,PP-Bizon,Night Riot,Battle-Scarred,Mil_Spec Grade,Clutch Case,0.12,1.2,0.55,-0.65,-0.57,-47.5
1,MP9,Black Sand,Battle-Scarred,Mil_Spec Grade,Clutch Case,0.12,1.2,0.55,-0.65,-0.57,-47.5
0,Five-SeveN,Flame Test,Minimal Wear,Mil_Spec Grade,Clutch Case,0.13,1.3,0.68,-0.62,-0.54,-41.54
1,XM1014,Oxide Blaze,Well-Worn,Mil_Spec Grade,Clutch Case,0.14,1.4000000000000001,0.79,-0.61,-0.53,-37.86
1,R8 Revolver,Grip,Field-Tested,Mil_Spec Grade,Clutch Case,0.12,1.2,0.64,-0.56,-0.49,-40.83
1,P2000,Urban Hazard,Field-Tested,Mil_Spec Grade,Clutch Case,0.12,1.2,0.64,-0.56,-0.49,-40.83
1,PP-Bizon,Night Riot,Field-Tested,Mil_Spec Grade,Clutch Case,0.12,1.2,0.64,-0.56,-0.49,-40.83
0,PP-Bizon,Night Riot,Minimal Wear,Mil_Spec Grade,Clutch Case,0.12,1.2,0.68,-0.52,-0.46,-38.33
0,MP9,Black Sand,Minimal Wear,Mil_Spec Grade,Clutch Case,0.12,1.2,0.68,-0.52,-0.46,-38.33
0,R8 Revolver,Grip,Minimal Wear,Mil_Spec Grade,Clutch Case,0.12,1.2,0.68,-0.52,-0.46,-38.33
0,P2000,Urban Hazard,Minimal Wear,Mil_Spec Grade,Clutch Case,0.12,1.2,0.68,-0.52,-0.46,-38.33
0,SG 553,Aloha,Minimal Wear,Mil_Spec Grade,Clutch Case,0.12,1.2,0.68,-0.52,-0.46,-38.33
0,XM1014,Oxide Blaze,Minimal Wear,Mil_Spec Grade,Clutch Case,0.12,1.2,0.68,-0.52,-0.46,-38.33
1,MP9,Black Sand,Well-Worn,Mil_Spec Grade,Clutch Case,0.13,1.3,0.79,-0.51,-0.45,-34.62
1,PP-Bizon,Night Riot,Well-Worn,Mil_Spec Grade,Clutch Case,0.13,1.3,0.79,-0.51,-0.45,-34.62
0,P2000,Urban Hazard,Battle-Scarred,Mil_Spec Grade,Clutch Case,0.08,0.8,0.36,-0.44,-0.39,-48.75
0,Five-SeveN,Flame Test,Battle-Scarred,Mil_Spec Grade,Clutch Case,0.08,0.8,0.36,-0.44,-0.39,-48.75
0,PP-Bizon,Night Riot,Well-Worn,Mil_Spec Grade,Clutch Case,0.08,0.8,0.39,-0.41,-0.36,-45.0
0,MP9,Black Sand,Well-Worn,Mil_Spec Grade,Clutch Case,0.08,0.8,0.39,-0.41,-0.36,-45.0
0,Five-SeveN,Flame Test,Well-Worn,Mil_Spec Grade,Clutch Case,0.08,0.8,0.39,-0.41,-0.36,-45.0
0,XM1014,Oxide Blaze,Well-Worn,Mil_Spec Grade,Clutch Case,0.08,0.8,0.39,-0.41,-0.36,-45.0
0,P2000,Urban Hazard,Well-Worn,Mil_Spec Grade,Clutch Case,0.08,0.8,0.39,-0.41,-0.36,-45.0
0,R8 Revolver,Grip,Well-Worn,Mil_Spec Grade,Clutch Case,0.08,0.8,0.39,-0.41,-0.36,-45.0
0,SG 553,Aloha,Well-Worn,Mil_Spec Grade,Clutch Case,0.08,0.8,0.39,-0.41,-0.36,-45.0
1,R8 Revolver,Grip,Well-Worn,Mil_Spec Grade,Clutch Case,0.12,1.2,0.79,-0.41,-0.36,-30.0
1,P2000,Urban Hazard,Well-Worn,Mil_Spec Grade,Clutch Case,0.12,1.2,0.79,-0.41,-0.36,-30.0
0,MP9,Black Sand,Field-Tested,Mil_Spec Grade,Clutch Case,0.08,0.8,0.4,-0.4,-0.35,-43.75
0,PP-Bizon,Night Riot,Field-Tested,Mil_Spec Grade,Clutch Case,0.08,0.8,0.4,-0.4,-0.35,-43.75
0,XM1014,Oxide Blaze,Field-Tested,Mil_Spec Grade,Clutch Case,0.08,0.8,0.4,-0.4,-0.35,-43.75
0,R8 Revolver,Grip,Field-Tested,Mil_Spec Grade,Clutch Case,0.08,0.8,0.4,-0.4,-0.35,-43.75
0,P2000,Urban Hazard,Field-Tested,Mil_Spec Grade,Clutch Case,0.08,0.8,0.4,-0.4,-0.35,-43.75
0,SG 553,Aloha,Field-Tested,Mil_Spec Grade,Clutch Case,0.08,0.8,0.4,-0.4,-0.35,-43.75
0,Five-SeveN,Flame Test,Field-Tested,Mil_Spec Grade,Clutch Case,0.08,0.8,0.4,-0.4,-0.35,-43.75
1,Nova,Wild Six,Battle-Scarred,Restricted,Clutch Case,0.49,4.9,4.52,-0.38,-0.33,-6.73
0,XM1014,Oxide Blaze,Battle-Scarred,Mil_Spec Grade,Clutch Case,0.07,0.7000000000000001,0.36,-0.34,-0.3,-42.86
0,MP9,Black Sand,Battle-Scarred,Mil_Spec Grade,Clutch Case,0.07,0.7000000000000001,0.36,-0.34,-0.3,-42.86
0,R8 Revolver,Grip,Battle-Scarred,Mil_Spec Grade,Clutch Case,0.07,0.7000000000000001,0.36,-0.34,-0.3,-42.86
0,SG 553,Aloha,Battle-Scarred,Mil_Spec Grade,Clutch Case,0.07,0.7000000000000001,0.36,-0.34,-0.3,-42.86
0,PP-Bizon,Night Riot,Battle-Scarred,Mil_Spec Grade,Clutch Case,0.07,0.7000000000000001,0.36,-0.34,-0.3,-42.86
1,Negev,Lionfish,Well-Worn,Restricted,Clutch Case,0.53,5.300000000000001,4.98,-0.32,-0.28,-5.28
1,MAG-7,SWAG-7,Well-Worn,Restricted,Clutch Case,0.51,5.1,4.98,-0.12,-0.1,-1.96
1,MAG-7,SWAG-7,Battle-Scarred,Restricted,Clutch Case,0.46,4.6000000000000005,4.52,-0.08,-0.07,-1.52
1,UMP-45,Arctic Wolf,Battle-Scarred,Restricted,Clutch Case,0.46,4.6000000000000005,4.52,-0.08,-0.07,-1.52
