StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
1,MP7,Abyssal Apparition,Battle-Scarred,Classified,Dreams and Nightmares Case,2.98,29.8,14.29,-15.51,-13.57,-45.54
0,Dual Berettas,Melondrama,Minimal Wear,Classified,Dreams and Nightmares Case,5.01,50.099999999999994,34.85,-15.25,-13.34,-26.63
1,MP7,Abyssal Apparition,Minimal Wear,Classified,Dreams and Nightmares Case,8.22,82.2,67.45,-14.75,-12.91,-15.71
1,FAMAS,Rapid Eye Movement,Minimal Wear,Classified,Dreams and Nightmares Case,8.17,81.7,67.45,-14.25,-12.47,-15.26
0,MP7,Abyssal Apparition,Minimal Wear,Classified,Dreams and Nightmares Case,4.87,48.7,34.85,-13.85,-12.12,-24.89
1,Five-SeveN,Scrawl,Factory New,Mil_Spec Grade,Dreams and Nightmares Case,1.94,19.4,6.02,-13.38,-11.71,-60.36
0,FAMAS,Rapid Eye Movement,Minimal Wear,Classified,Dreams and Nightmares Case,4.76,47.599999999999994,34.85,-12.75,-11.16,-23.45
1,PP-Bizon,Space Cat,Factory New,Restricted,Dreams and Nightmares Case,3.4,34.0,21.35,-12.65,-11.07,-32.56
1,Dual Berettas,Melondrama,Battle-Scarred,Classified,Dreams and Nightmares Case,2.67,26.7,14.29,-12.41,-10.86,-40.67
1,G3SG1,Dream Glade,Factory New,Restricted,Dreams and Nightmares Case,3.3,33.0,21.35,-11.65,-10.19,-30.88
1,PP-Bizon,Space Cat,Battle-Scarred,Restricted,Dreams and Nightmares Case,0.49,4.9,2.72,-2.18,-1.91,-38.98
1,XM1014,Zombie Offensive,Battle-Scarred,Restricted,Dreams and Nightmares Case,0.49,4.9,2.72,-2.18,-1.91,-38.98
0,XM1014,Zombie Offensive,Factory New,Restricted,Dreams and Nightmares Case,1.26,12.6,10.53,-2.07,-1.81,-14.37
0,XM1014,Zombie Offensive,Minimal Wear,Restricted,Dreams and Nightmares Case,0.69,6.8999999999999995,4.88,-2.02,-1.77,-25.65
0,G3SG1,Dream Glade,Minimal Wear,Restricted,Dreams and Nightmares Case,0.69,6.8999999999999995,4.88,-2.02,-1.77,-25.65
1,G3SG1,Dream Glade,Field-Tested,Restricted,Dreams and Nightmares Case,0.57,5.699999999999999,3.76,-1.94,-1.7,-29.82
