StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
0,UMP-45,Moonrise,Factory New,Restricted,Prisma Case,1.22,12.2,22.38,10.18,8.91,73.03
0,MP5-SD,Gauss,Factory New,Restricted,Prisma Case,1.26,12.6,22.38,9.78,8.56,67.94
1,Tec-9,Bamboozle,Minimal Wear,Restricted,Prisma Case,1.8,18.0,25.06,7.06,6.18,34.33
0,Tec-9,Bamboozle,Factory New,Restricted,Prisma Case,1.55,15.5,22.38,6.88,6.02,38.84
1,UMP-45,Moonrise,Factory New,Restricted,Prisma Case,3.06,30.6,79.99,49.39,43.22,141.24
1,MP5-SD,Gauss,Factory New,Restricted,Prisma Case,3.28,32.8,79.99,47.19,41.29,125.88
1,Tec-9,Bamboozle,Factory New,Restricted,Prisma Case,4.3,43.0,79.99,36.99,32.37,75.28
0,UMP-45,Moonrise,Minimal Wear,Restricted,Prisma Case,0.66,6.6000000000000005,9.07,2.47,2.16,32.73
0,MP5-SD,Gauss,Minimal Wear,Restricted,Prisma Case,0.67,6.7,9.07,2.37,2.07,30.9
1,MP5-SD,Gauss,Minimal Wear,Restricted,Prisma Case,1.18,11.799999999999999,25.06,13.26,11.6,98.31
1,UMP-45,Moonrise,Minimal Wear,Restricted,Prisma Case,1.28,12.8,25.06,12.26,10.73,83.83
0,Tec-9,Bamboozle,Minimal Wear,Restricted,Prisma Case,0.78,7.800000000000001,9.07,1.27,1.11,14.23
1,MP7,Mischief,Battle-Scarred,Mil_Spec Grade,Prisma Case,0.26,2.6,2.88,0.28,0.25,9.62
1,MAC-10,Whitefish,Battle-Scarred,Mil_Spec Grade,Prisma Case,0.28,2.8000000000000003,2.88,0.08,0.07,2.5
1,MAC-10,Whitefish,Well-Worn,Mil_Spec Grade,Prisma Case,0.28,2.8000000000000003,2.83,0.03,0.03,1.07
1,R8 Revolver,Skull Crusher,Well-Worn,Classified,Prisma Case,3.04,30.4,19.67,-10.73,-9.39,-30.89
