StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
0,MP7,Cirrus,Well-Worn,Mil_Spec Grade,Glove Case,0.31,3.1,1.09,-2.01,-1.76,-56.77
0,Glock-18,Ironwork,Minimal Wear,Mil_Spec Grade,Glove Case,0.33,3.3000000000000003,1.38,-1.92,-1.68,-50.91
1,MP7,Cirrus,Battle-Scarred,Mil_Spec Grade,Glove Case,0.43,4.3,2.38,-1.92,-1.68,-39.07
1,CZ75-Auto,Polymer,Factory New,Mil_Spec Grade,Glove Case,1.01,10.1,8.37,-1.73,-1.51,-14.95
1,Glock-18,Ironwork,Battle-Scarred,Mil_Spec Grade,Glove Case,0.41,4.1,2.38,-1.72,-1.5,-36.59
1,MP9,Sand Scale,Factory New,Mil_Spec Grade,Glove Case,1.0,10.0,8.37,-1.63,-1.43,-14.3
0,Dual Berettas,Royal Consorts,Battle-Scarred,Restricted,Glove Case,0.38,3.8,2.32,-1.48,-1.29,-33.95
0,G3SG1,Stinger,Battle-Scarred,Restricted,Glove Case,0.38,3.8,2.32,-1.48,-1.29,-33.95
0,Dual Berettas,Royal Consorts,Well-Worn,Restricted,Glove Case,0.39,3.9000000000000004,2.55,-1.35,-1.18,-30.26
1,MP9,Sand Scale,Field-Tested,Mil_Spec Grade,Glove Case,0.35,3.5,2.16,-1.34,-1.17,-33.43
1,Glock-18,Ironwork,Well-Worn,Mil_Spec Grade,Glove Case,0.43,4.3,2.97,-1.33,-1.16,-26.98
1,MP9,Sand Scale,Minimal Wear,Mil_Spec Grade,Glove Case,0.5,5.0,3.72,-1.28,-1.12,-22.4
1,CZ75-Auto,Polymer,Minimal Wear,Mil_Spec Grade,Glove Case,0.49,4.9,3.72,-1.18,-1.03,-21.02
1,P2000,Turf,Field-Tested,Mil_Spec Grade,Glove Case,0.33,3.3000000000000003,2.16,-1.14,-1.0,-30.3
1,Galil AR,Black Sand,Field-Tested,Mil_Spec Grade,Glove Case,0.33,3.3000000000000003,2.16,-1.14,-1.0,-30.3
1,MAG-7,Sonar,Minimal Wear,Mil_Spec Grade,Glove Case,0.48,4.8,3.72,-1.08,-0.95,-19.79
0,MP7,Cirrus,Field-Tested,Mil_Spec Grade,Glove Case,0.17,1.7000000000000002,0.78,-0.92,-0.81,-47.65
0,P2000,Turf,Minimal Wear,Mil_Spec Grade,Glove Case,0.23,2.3000000000000003,1.38,-0.92,-0.81,-35.22
0,Glock-18,Ironwork,Field-Tested,Mil_Spec Grade,Glove Case,0.17,1.7000000000000002,0.78,-0.92,-0.81,-47.65
1,MP9,Sand Scale,Well-Worn,Mil_Spec Grade,Glove Case,0.38,3.8,2.97,-0.83,-0.73,-19.21
1,CZ75-Auto,Polymer,Field-Tested,Mil_Spec Grade,Glove Case,0.3,3.0,2.16,-0.84,-0.73,-24.33
1,MAG-7,Sonar,Field-Tested,Mil_Spec Grade,Glove Case,0.3,3.0,2.16,-0.84,-0.73,-24.33
0,MP7,Cirrus,Battle-Scarred,Mil_Spec Grade,Glove Case,0.16,1.6,0.78,-0.82,-0.72,-45.0
0,CZ75-Auto,Polymer,Factory New,Mil_Spec Grade,Glove Case,0.34,3.4000000000000004,2.66,-0.74,-0.65,-19.12
0,P2000,Turf,Field-Tested,Mil_Spec Grade,Glove Case,0.15,1.5,0.78,-0.72,-0.63,-42.0
0,Glock-18,Ironwork,Battle-Scarred,Mil_Spec Grade,Glove Case,0.15,1.5,0.78,-0.72,-0.63,-42.0
0,CZ75-Auto,Polymer,Battle-Scarred,Mil_Spec Grade,Glove Case,0.14,1.4000000000000001,0.78,-0.62,-0.54,-38.57
0,CZ75-Auto,Polymer,Field-Tested,Mil_Spec Grade,Glove Case,0.14,1.4000000000000001,0.78,-0.62,-0.54,-38.57
0,P2000,Turf,Battle-Scarred,Mil_Spec Grade,Glove Case,0.14,1.4000000000000001,0.78,-0.62,-0.54,-38.57
0,MP9,Sand Scale,Factory New,Mil_Spec Grade,Glove Case,0.32,3.2,2.66,-0.54,-0.47,-14.69
0,MAG-7,Sonar,Factory New,Mil_Spec Grade,Glove Case,0.32,3.2,2.66,-0.54,-0.47,-14.69
1,CZ75-Auto,Polymer,Battle-Scarred,Mil_Spec Grade,Glove Case,0.29,2.9,2.38,-0.52,-0.46,-15.86
0,Galil AR,Black Sand,Field-Tested,Mil_Spec Grade,Glove Case,0.13,1.3,0.78,-0.52,-0.46,-35.38
0,Galil AR,Black Sand,Minimal Wear,Mil_Spec Grade,Glove Case,0.19,1.9,1.38,-0.52,-0.46,-24.21
0,Glock-18,Ironwork,Well-Worn,Mil_Spec Grade,Glove Case,0.16,1.6,1.09,-0.51,-0.45,-28.12
1,Galil AR,Black Sand,Battle-Scarred,Mil_Spec Grade,Glove Case,0.28,2.8000000000000003,2.38,-0.42,-0.37,-13.21
0,Galil AR,Black Sand,Battle-Scarred,Mil_Spec Grade,Glove Case,0.12,1.2,0.78,-0.42,-0.37,-30.83
0,MAG-7,Sonar,Field-Tested,Mil_Spec Grade,Glove Case,0.12,1.2,0.78,-0.42,-0.37,-30.83
0,MP9,Sand Scale,Field-Tested,Mil_Spec Grade,Glove Case,0.12,1.2,0.78,-0.42,-0.37,-30.83
0,MAG-7,Sonar,Well-Worn,Mil_Spec Grade,Glove Case,0.15,1.5,1.09,-0.41,-0.36,-24.0
0,CZ75-Auto,Polymer,Well-Worn,Mil_Spec Grade,Glove Case,0.15,1.5,1.09,-0.41,-0.36,-24.0
0,P2000,Turf,Well-Worn,Mil_Spec Grade,Glove Case,0.15,1.5,1.09,-0.41,-0.36,-24.0
0,MAG-7,Sonar,Minimal Wear,Mil_Spec Grade,Glove Case,0.17,1.7000000000000002,1.38,-0.32,-0.28,-16.47
0,MP9,Sand Scale,Minimal Wear,Mil_Spec Grade,Glove Case,0.17,1.7000000000000002,1.38,-0.32,-0.28,-16.47
0,CZ75-Auto,Polymer,Minimal Wear,Mil_Spec Grade,Glove Case,0.17,1.7000000000000002,1.38,-0.32,-0.28,-16.47
1,P2000,Turf,Battle-Scarred,Mil_Spec Grade,Glove Case,0.26,2.6,2.38,-0.22,-0.19,-7.31
0,Galil AR,Black Sand,Well-Worn,Mil_Spec Grade,Glove Case,0.12,1.2,1.09,-0.11,-0.1,-8.33
0,MP9,Sand Scale,Well-Worn,Mil_Spec Grade,Glove Case,0.12,1.2,1.09,-0.11,-0.1,-8.33
